,predicted,measured,prob_predicted,co2,temperature,time
0,0,0,2.13E-06,406.4490577,22.149338,3/30/2021 0:12
1,0,0,4.55E-06,406.3891825,22.15117243,3/30/2021 0:15
2,0,0,1.57E-05,406.5842254,22.15112411,3/30/2021 0:18
3,0,0,7.08E-05,407.0316909,22.15018821,3/30/2021 0:21
4,0,0,0.000373819,407.3533256,22.14827112,3/30/2021 0:24
5,0,0,0.001217574,407.6882927,22.14818114,3/30/2021 0:27
6,0,0,0.001180277,408.0810891,22.14690928,3/30/2021 0:30
7,0,0,0.001428074,408.3419945,22.14632835,3/30/2021 0:33
8,0,0,0.001420026,408.1550993,22.14438025,3/30/2021 0:36
9,0,0,0.000394868,407.835714,22.14087017,3/30/2021 0:39
10,0,0,4.73E-05,407.4479001,22.13444712,3/30/2021 0:42
11,0,0,1.37E-05,407.0158763,22.12946877,3/30/2021 0:45
12,0,0,7.46E-06,406.9714401,22.12543731,3/30/2021 0:48
13,0,0,1.02E-05,407.0491478,22.12394957,3/30/2021 0:51
14,0,0,4.75E-05,407.3017704,22.12285679,3/30/2021 0:54
15,0,0,0.000207922,407.63257,22.12104969,3/30/2021 0:57
16,0,0,0.000579598,408.1246266,22.11934756,3/30/2021 1:00
17,0,0,0.001478627,408.8051459,22.11958018,3/30/2021 1:03
18,0,0,0.004154395,409.4461798,22.11977082,3/30/2021 1:06
19,0,0,0.008738133,409.7958316,22.11793854,3/30/2021 1:09
20,0,0,0.00603848,410.3290666,22.11590012,3/30/2021 1:12
21,0,0,0.004387024,411.0752082,22.11345171,3/30/2021 1:15
22,0,0,0.008141048,411.6338707,22.10934847,3/30/2021 1:18
23,0,0,0.014058207,412.3319203,22.10718008,3/30/2021 1:21
24,0,0,0.01460103,412.9291618,22.1057297,3/30/2021 1:24
25,0,0,0.015613867,413.5623196,22.10585229,3/30/2021 1:27
26,0,0,0.015327354,414.0007093,22.1065601,3/30/2021 1:30
27,0,0,0.011198637,414.42917,22.10592393,3/30/2021 1:33
28,0,0,0.007038599,414.6485476,22.10388015,3/30/2021 1:36
29,0,0,0.004476713,414.61978,22.10022438,3/30/2021 1:39
30,0,0,0.001560622,414.4779904,22.09759105,3/30/2021 1:42
31,0,0,0.000376811,414.2869999,22.09771683,3/30/2021 1:45
32,0,0,0.000146309,414.1417093,22.09561429,3/30/2021 1:48
